date,xroll_kappa,xroll_kappa_se,xroll_theta,xroll_theta_se,xroll_sigma,xroll_sigma_se
1990-03-13,NA,NA,NA,NA,NA,NA
1990-03-14,NA,NA,NA,NA,NA,NA
1990-03-15,NA,NA,NA,NA,NA,NA
1990-03-16,NA,NA,NA,NA,NA,NA
1990-03-19,NA,NA,NA,NA,NA,NA
1990-03-20,NA,NA,NA,NA,NA,NA
1990-03-21,NA,NA,NA,NA,NA,NA
1990-03-22,NA,NA,NA,NA,NA,NA
1990-03-23,NA,NA,NA,NA,NA,NA
1990-03-26,NA,NA,NA,NA,NA,NA
1990-03-27,NA,NA,NA,NA,NA,NA
1990-03-28,NA,NA,NA,NA,NA,NA
1990-03-29,NA,NA,NA,NA,NA,NA
1990-03-30,NA,NA,NA,NA,NA,NA
1990-04-02,NA,NA,NA,NA,NA,NA
1990-04-03,NA,NA,NA,NA,NA,NA
1990-04-04,NA,NA,NA,NA,NA,NA
1990-04-05,NA,NA,NA,NA,NA,NA
1990-04-06,NA,NA,NA,NA,NA,NA
1990-04-09,NA,NA,NA,NA,NA,NA
1990-04-10,NA,NA,NA,NA,NA,NA
1990-04-11,NA,NA,NA,NA,NA,NA
1990-04-12,NA,NA,NA,NA,NA,NA
1990-04-16,NA,NA,NA,NA,NA,NA
1990-04-17,NA,NA,NA,NA,NA,NA
1990-04-18,NA,NA,NA,NA,NA,NA
1990-04-19,NA,NA,NA,NA,NA,NA
1990-04-20,NA,NA,NA,NA,NA,NA
1990-04-23,NA,NA,NA,NA,NA,NA
1990-04-24,NA,NA,NA,NA,NA,NA
1990-04-25,NA,NA,NA,NA,NA,NA
1990-04-26,NA,NA,NA,NA,NA,NA
1990-04-27,NA,NA,NA,NA,NA,NA
1990-04-30,NA,NA,NA,NA,NA,NA
1990-05-01,NA,NA,NA,NA,NA,NA
1990-05-02,NA,NA,NA,NA,NA,NA
1990-05-03,NA,NA,NA,NA,NA,NA
1990-05-04,NA,NA,NA,NA,NA,NA
1990-05-07,NA,NA,NA,NA,NA,NA
1990-05-08,NA,NA,NA,NA,NA,NA
1990-05-09,NA,NA,NA,NA,NA,NA
1990-05-10,NA,NA,NA,NA,NA,NA
1990-05-11,NA,NA,NA,NA,NA,NA
1990-05-14,NA,NA,NA,NA,NA,NA
1990-05-15,NA,NA,NA,NA,NA,NA
1990-05-16,NA,NA,NA,NA,NA,NA
1990-05-17,NA,NA,NA,NA,NA,NA
1990-05-18,NA,NA,NA,NA,NA,NA
1990-05-21,NA,NA,NA,NA,NA,NA
1990-05-22,NA,NA,NA,NA,NA,NA
1990-05-23,NA,NA,NA,NA,NA,NA
1990-05-24,NA,NA,NA,NA,NA,NA
1990-05-25,NA,NA,NA,NA,NA,NA
1990-05-29,NA,NA,NA,NA,NA,NA
1990-05-30,NA,NA,NA,NA,NA,NA
1990-05-31,NA,NA,NA,NA,NA,NA
1990-06-01,NA,NA,NA,NA,NA,NA
1990-06-04,NA,NA,NA,NA,NA,NA
1990-06-05,NA,NA,NA,NA,NA,NA
1990-06-06,NA,NA,NA,NA,NA,NA
1990-06-07,NA,NA,NA,NA,NA,NA
1990-06-08,NA,NA,NA,NA,NA,NA
1990-06-11,NA,NA,NA,NA,NA,NA
1990-06-12,NA,NA,NA,NA,NA,NA
1990-06-13,NA,NA,NA,NA,NA,NA
1990-06-14,NA,NA,NA,NA,NA,NA
1990-06-15,NA,NA,NA,NA,NA,NA
1990-06-18,NA,NA,NA,NA,NA,NA
1990-06-19,NA,NA,NA,NA,NA,NA
1990-06-20,NA,NA,NA,NA,NA,NA
1990-06-21,NA,NA,NA,NA,NA,NA
1990-06-22,NA,NA,NA,NA,NA,NA
1990-06-25,NA,NA,NA,NA,NA,NA
1990-06-26,NA,NA,NA,NA,NA,NA
1990-06-27,NA,NA,NA,NA,NA,NA
1990-06-28,NA,NA,NA,NA,NA,NA
1990-06-29,NA,NA,NA,NA,NA,NA
1990-07-02,NA,NA,NA,NA,NA,NA
1990-07-03,NA,NA,NA,NA,NA,NA
1990-07-05,NA,NA,NA,NA,NA,NA
1990-07-06,NA,NA,NA,NA,NA,NA
1990-07-09,NA,NA,NA,NA,NA,NA
1990-07-10,NA,NA,NA,NA,NA,NA
1990-07-11,NA,NA,NA,NA,NA,NA
1990-07-12,NA,NA,NA,NA,NA,NA
1990-07-13,NA,NA,NA,NA,NA,NA
1990-07-16,NA,NA,NA,NA,NA,NA
1990-07-17,NA,NA,NA,NA,NA,NA
1990-07-18,NA,NA,NA,NA,NA,NA
1990-07-19,NA,NA,NA,NA,NA,NA
1990-07-20,NA,NA,NA,NA,NA,NA
1990-07-23,NA,NA,NA,NA,NA,NA
1990-07-24,NA,NA,NA,NA,NA,NA
1990-07-25,NA,NA,NA,NA,NA,NA
1990-07-26,NA,NA,NA,NA,NA,NA
1990-07-27,NA,NA,NA,NA,NA,NA
1990-07-30,NA,NA,NA,NA,NA,NA
1990-07-31,NA,NA,NA,NA,NA,NA
1990-08-01,NA,NA,NA,NA,NA,NA
1990-08-02,NA,NA,NA,NA,NA,NA
1990-08-03,NA,NA,NA,NA,NA,NA
1990-08-06,NA,NA,NA,NA,NA,NA
1990-08-07,NA,NA,NA,NA,NA,NA
1990-08-08,NA,NA,NA,NA,NA,NA
1990-08-09,NA,NA,NA,NA,NA,NA
1990-08-10,NA,NA,NA,NA,NA,NA
